ID,a0,b0,c0,d0,a1,b1,c1,d1,a2,b2,c2,d2,a3,b3,c3,d3,Average Daily Steps,No of active session,A_Mean,A_Median,A_Mode,No of sedentary session,S_Mean,S_Median,S_Mode
1001,2.5,171.24865562255167,-254.66465010049419,85.08266114460918,4.166666666666667,-82.83266114460916,0.5833333333333428,85.08266114460915,7.0,173.58198895588498,255.83131676716087,-426.5799723897125,9.833333333333334,-594.4952946789308,-1023.9086004019767,1699.737228414241,19899.333333333336,4,7103.708333333334,7660.333333333334,[4543.83333333],8,4890.895833333334,4789.166666666668,[2.5]
1263,2.8333333333333335,-67.05467392393074,103.62367755256278,-34.40233696196537,5.0,36.9856702952987,0.4166666666666714,-34.402336961965375,8.0,-65.38800725726408,-102.7903442192295,172.0116848098269,11.833333333333334,245.06635873375762,413.2447102102511,-190.31106894400875,29460.0,16,5658.875,4186.833333333333,[479.83333333],6,4914.138888888889,9.916666666666668,[2.83333333]
1262,3.5,-85.25386162619482,131.08912577262555,-43.50193081309742,5.833333333333334,46.418597479764074,0.5833333333333428,-43.50193081309742,9.333333333333334,-82.92052829286149,-129.92245910595892,216.3429873988204,12.833333333333334,306.2635156916819,519.1065030905022,-262.87001878218416,26890.666666666664,13,6390.397435897436,4687.666666666667,[575.33333333],6,4486.694444444443,11.083333333333334,[3.5]
1261,2.5,-84.57824323609057,128.74236485413587,-42.664121618045286,4.0,44.914121618045286,0.75,-42.664121618045286,7.0,-81.57824323609057,-127.24236485413589,211.1539414235598,9.333333333333334,297.398851326317,506.2194594165432,-223.4516440761936,34239.33333333333,17,6976.401960784313,4754.499999999999,[589.5],6,5710.0277777777765,8.166666666666668,[2.5]
1260,1.8333333333333333,-76.91361164465077,121.37041746697616,-40.79013915565872,5.5,43.456805822325386,-1.0,-40.79013915565872,7.166666666666667,-80.91361164465077,-123.37041746697614,205.95069577829358,8.833333333333334,290.1976407562777,494.4816698679049,-211.51264395751593,30790.333333333332,15,6540.8,4335.5,[582.],6,5135.11111111111,8.0,[1.83333333]
1259,2.3333333333333335,-36.790960798100784,58.60310786381784,-19.312147065717056,4.833333333333334,22.478813732383728,0.666666666666675,-19.312147065717067,8.666666666666668,-34.12429413143413,-57.26977453048451,94.39406866191864,11.666666666666668,134.51836279335276,225.91243145527153,-25.26412758195761,32478.333333333332,15,7190.48888888889,5527.166666666667,[933.33333333],6,5417.027777777777,10.166666666666668,[2.33333333]
1258,3.1666666666666665,-62.89801921291154,97.51369548603398,-32.449009606455775,5.333333333333333,34.7823429397891,0.1666666666666643,-32.44900960645577,7.833333333333333,-62.23135254624487,-97.18036215270067,161.24504803227887,9.666666666666666,227.1430672451904,386.5547819441359,-117.19784918932635,35196.33333333333,16,7209.78125,5175.666666666666,[506.16666667],6,5870.0,8.75,[3.16666667]
1257,2.1666666666666665,-85.62446133362474,129.85335866710378,-43.06223066681237,3.333333333333333,44.895564000145704,0.6666666666666714,-43.062230666812376,5.833333333333333,-82.95779466695808,-128.52002533377043,213.4778200007285,7.833333333333333,300.4356146676866,511.91343466841505,-233.84904933610164,33151.666666666664,14,6350.928571428572,4491.416666666667,[586.33333333],6,5528.0,6.833333333333333,[2.16666667]
1264,2.6666666666666665,-62.06888571877495,97.47832857816242,-32.57610952605414,5.5,35.159442859387475,-0.25,-32.57610952605414,7.833333333333334,-63.06888571877494,-97.97832857816242,163.21388096360403,10.0,230.6161000157123,391.66331431264973,-183.44608099502875,30318.0,14,6853.119047619047,4549.5,[448.83333333],6,5056.944444444445,8.916666666666668,[2.66666667]
1256,2.5,-74.46189140734077,115.60950377767782,-38.64761237033705,5.0,40.81427903700372,-0.3333333333333286,-38.64761237033706,6.833333333333333,-75.79522474067412,-116.27617044434447,194.0713951850186,8.833333333333332,273.8666199256927,465.93801511071126,-211.80463503640397,29251.666666666664,17,6196.558823529412,4999.166666666666,[536.83333333],6,4878.805555555555,7.833333333333332,[2.5]
1254,2.6666666666666665,-35.32054417722514,58.397482932504374,-19.576938755279237,6.166666666666666,22.7436054219459,-0.33333333333333215,-19.576938755279233,9.0,-36.653877510558466,-59.064149599171046,98.55136044306285,11.833333333333334,140.87190462028798,236.58993173001755,5.204830316361154,35609.666666666664,13,8229.948717948717,5495.0,[1072.33333333],6,5939.61111111111,10.416666666666668,[2.66666667]
1253,2.5,-65.5528197487869,101.78756295651368,-33.73474320772679,5.0,36.818076541060115,0.5833333333333286,-33.73474320772678,8.666666666666666,-63.21948641545357,-100.62089628984702,166.67371603863393,11.5,235.55986912075414,399.4002518260547,-160.46012094680884,32141.666666666664,16,6667.197916666666,5107.166666666667,[486.],6,5361.222222222222,10.083333333333332,[2.5]
1252,2.0,-82.57485952376601,126.48728928564901,-42.07909642854967,3.833333333333333,44.162429761883004,0.25,-42.07909642854967,6.166666666666666,-81.57485952376601,-125.98728928564903,210.39548214274836,9.0,297.63700833318103,505.19915714259605,-263.3361654757771,33224.666666666664,14,7291.428571428571,5075.833333333333,[548.5],6,5540.555555555555,7.583333333333333,[2.]
1251,1.1666666666666667,-61.83171100813004,95.74756651219506,-31.91585550406502,3.166666666666667,33.91585550406502,7.105427357601002e-15,-31.91585550406503,5.166666666666667,-61.83171100813005,-95.74756651219506,161.07927752032512,8.666666666666668,229.91098852845516,387.49026604878037,-152.23458791056885,38216.33333333333,15,7632.488888888888,5237.833333333333,[473.83333333],6,6372.138888888888,6.916666666666668,[1.16666667]
1250,2.6666666666666665,-87.3214479318011,133.940505231035,-44.45239063256722,4.833333333333333,47.202390632567216,0.5833333333333286,-44.45239063256721,8.166666666666666,-84.98811459846776,-132.77383856436836,218.7619531628361,9.166666666666666,305.75006776130385,523.5120209241401,-210.42875535211056,31554.0,17,7181.421568627452,5188.5,[628.],6,5262.861111111112,8.666666666666666,[2.66666667]
1249,2.8333333333333335,-79.15214433790031,124.35321650685046,-41.701072168950155,6.333333333333334,44.451072168950155,-0.75,-41.701072168950155,8.333333333333334,-82.15214433790031,-125.85321650685049,210.83869417808413,11.166666666666668,298.6575051826511,506.66286602740195,-250.82037121005305,29769.0,16,6974.489583333334,4836.916666666666,[565.66666667],6,4965.916666666667,9.75,[2.83333333]
1248,2.5,-74.38199735893286,114.19799603839928,-37.982665346133096,4.333333333333333,40.06599867946643,0.25,-37.982665346133096,6.666666666666666,-73.38199735893286,-113.69799603839931,189.57999339733217,9.166666666666666,267.96199075626504,455.04198415359707,-187.5039749098621,26074.666666666664,12,6882.124999999999,6758.249999999999,[544.66666667],6,4349.277777777777,7.916666666666666,[2.5]
1255,2.1666666666666665,-68.24975865916086,107.83297132207463,-36.24987932958043,5.5,38.666545996247095,-0.9166666666666714,-36.24987932958042,7.0,-71.91642532582752,-109.66630465540793,184.58272998123545,10.0,262.49915530706295,444.0818852882982,-194.91437392869443,31187.666666666664,15,6758.855555555554,5326.0,[521.66666667],6,5201.416666666666,8.5,[2.16666667]
1265,1.8333333333333333,-67.28505726032058,105.59425255714754,-35.14252863016029,5.0,38.47586196349363,0.1666666666666714,-35.1425286301603,8.5,-66.61839059365393,-105.26091922381421,174.87930981746814,11.5,247.49770041112208,419.37701022859045,-193.70804397304585,27167.333333333336,13,6528.884615384615,4961.666666666667,[484.66666667],6,4532.13888888889,10.0,[1.83333333]
1266,2.1666666666666665,-88.87903193076363,137.56854789614545,-46.02284929871515,4.833333333333333,48.189515965381815,-0.5,-46.02284929871515,6.5,-90.87903193076363,-138.56854789614545,232.28091316024242,9.333333333333334,328.8266117576727,558.2741915845818,-293.7674700089211,21461.0,8,6078.708333333334,6991.833333333332,[602.66666667],6,3580.1666666666665,7.916666666666667,[2.16666667]
1268,3.5,-40.3264036293993,64.53127211076561,-21.53820181469965,6.166666666666666,24.121535148032983,-0.0833333333333357,-21.538201814699647,8.666666666666666,-40.65973696273263,-64.69793877743228,108.35767574016492,11.666666666666666,155.01741270289756,260.37508844306257,-60.22583447929344,31232.333333333336,14,7458.904761904762,5454.000000000001,[885.66666667],6,5209.944444444445,10.166666666666666,[3.5]
1285,2.1666666666666665,-36.68295211911624,57.607761512007684,-19.258142726224783,3.833333333333333,20.758142726224786,-0.1666666666666643,-19.25814272622479,5.166666666666666,-37.34961878578291,-57.94109484534101,97.79071363112392,7.666666666666666,140.14033241690683,235.4310460480307,-61.07137846493754,23854.666666666668,14,5148.333333333333,4429.333333333333,[801.83333333],6,3978.388888888889,6.416666666666666,[2.16666667]
1284,3.8333333333333335,-100.24427504028824,152.82474589376568,-50.74713752014412,5.666666666666667,53.163804186810786,0.5833333333333286,-50.747137520144115,8.666666666666668,-97.9109417069549,-151.65807922709905,251.90235426738727,11.000000000000002,354.47996264100885,604.0489835750627,-301.69561288273826,29721.66666666667,18,6288.324074074075,5299.916666666667,[667.83333333],6,4958.083333333334,9.833333333333336,[3.83333333]
1283,1.8333333333333333,-58.66231512238861,91.57680601691625,-30.41449089452764,4.333333333333333,33.247824227860974,0.33333333333333925,-30.414490894527646,7.5,-57.328981789055284,-90.91013935024958,151.40578780597153,10.666666666666666,215.06810292836016,363.30722406766506,-183.04199366269188,26684.66666666667,10,6769.15,5770.416666666666,[1383.16666667],6,4451.194444444445,9.083333333333332,[1.83333333]
