ID,a0,b0,c0,d0,a1,b1,c1,d1,a2,b2,c2,d2,a3,b3,c3,d3,Average Daily Steps,No of active session,A_Mean,A_Median,A_Mode,No of sedentary session,S_Mean,S_Median,S_Mode
1471,2.0,-83.62741459411497,128.44112189117246,-42.64704063039082,4.166666666666666,45.31370729705748,0.5,-42.64704063039082,7.333333333333332,-81.62741459411497,-127.44112189117246,210.2352031519541,8.499999999999998,294.1959510794024,503.2644875646899,-236.79377197742565,16511.0,12,4317.819444444444,4538.25,[569.16666667],6,2755.0555555555547,7.916666666666665,[2.]
1464,2.6666666666666665,-113.02121635250849,173.5734911954294,-58.05227484292091,5.166666666666666,59.96894150958758,-0.5833333333333286,-58.052274842920916,6.499999999999999,-115.35454968584183,-174.74015786209605,291.9280408812712,8.333333333333332,410.94925723377975,701.0439647817177,-379.3265553488309,16625.333333333332,11,3675.1969696969695,3261.833333333333,[741.],6,2774.2777777777774,7.416666666666666,[2.66666667]
1465,2.5,-68.30908108627506,106.92195496274593,-35.612873876470864,5.5,38.69620720980419,0.0833333333333286,-35.61287387647086,8.666666666666666,-67.97574775294171,-106.75528829607924,177.73103604902096,11.666666666666666,251.70678380196267,426.4378198509835,-218.31127031961285,15991.666666666664,12,4140.027777777777,4145.0,[471.5],6,2669.555555555555,10.166666666666666,[2.5]
1466,2.0,-103.16530800571648,157.41462867524137,-52.41598733619157,3.833333333333333,54.41598733619158,0.1666666666666714,-52.415987336191584,6.0,-102.49864133904983,-157.08129534190803,263.9132700142912,10.333333333333332,375.0785780200077,634.658514700965,-279.57042605430615,19607.666666666664,17,5231.735294117647,5289.166666666667,[740.5],6,3271.361111111111,8.166666666666666,[2.]
1467,0.8333333333333334,-78.85243722099518,124.3619891648261,-41.67621861049759,4.666666666666667,44.84288527716426,-0.6666666666666714,-41.676218610497585,7.166666666666667,-81.51910388766184,-125.69532249815946,210.7144263858213,10.666666666666668,299.23353027348315,506.4479566593042,-244.01482026612075,12965.0,7,2734.1666666666665,1957.1666666666665,[572.33333333],6,2164.1666666666665,8.916666666666668,[0.83333333]
1468,2.6666666666666665,-86.70950893662028,131.98093007159707,-43.771421134976805,4.166666666666666,45.938087801643476,0.6666666666666785,-43.77142113497682,7.0,-84.04284226995362,-130.64759673826376,215.69043900821737,8.0,301.733281278171,516.4237202863885,-206.82366823122607,16795.0,12,4067.0833333333335,4416.25,[619.33333333],6,2802.5833333333335,7.5,[2.66666667]
1469,1.5,-45.19120846062315,71.16181269093474,-23.637270896978244,3.8333333333333335,26.220604230311576,0.25,-23.637270896978244,6.666666666666667,-44.19120846062315,-70.66181269093472,117.51968781822454,9.333333333333334,167.04422961218103,281.8972507637387,-97.60814704258644,16506.0,14,4418.333333333333,4122.083333333333,[826.33333333],6,2754.0833333333335,8.0,[1.5]
1475,3.1666666666666665,-46.73903445392987,73.2335516808948,-24.494517226964934,5.166666666666666,26.244517226964934,-0.25,-24.494517226964934,6.666666666666666,-47.73903445392987,-73.73355168089479,123.305919468158,8.5,174.71162058875453,296.1842067235792,-40.22916064566709,15339.666666666668,10,3516.6,3273.916666666666,[439.16666667],6,2560.0,7.583333333333333,[3.16666667]
1463,2.3333333333333335,-93.36744906753005,141.92617360129506,-47.05872453376502,3.8333333333333335,49.30872453376502,0.75,-47.05872453376502,6.833333333333334,-90.36744906753005,-140.42617360129503,232.96028933549175,9.0,327.66107173635515,558.4546944051804,-276.94909947486894,16538.666666666664,12,4513.972222222222,4663.916666666666,[618.16666667],6,2759.9166666666665,7.916666666666667,[2.33333333]
1470,1.5,-64.87156917126316,100.18235375689474,-33.31078458563158,3.5,35.56078458563158,0.2500000000000071,-33.31078458563159,6.0,-63.87156917126317,-99.68235375689477,166.88725626149127,9.333333333333334,237.4254920994211,400.979415027579,-143.40490712700011,15077.333333333332,10,3558.033333333333,2826.75,[504.33333333],6,2516.0277777777774,7.666666666666667,[1.5]
1474,1.1666666666666667,-48.73066612130549,75.80433251529156,-24.906999727319413,3.333333333333333,28.15699972731941,1.0833333333333321,-24.90699972731941,7.666666666666666,-44.397332787972154,-73.63766584862489,119.03499863659704,8.666666666666666,165.43233142456918,283.4673300611664,-48.39966148573558,15945.666666666668,11,4156.409090909091,3715.6666666666665,[409.16666667],6,2660.5555555555557,8.166666666666666,[1.16666667]
1473,2.5,-32.241350126948966,53.73702519042345,-17.995675063474483,6.0,21.245675063474483,-0.25,-17.995675063474483,9.0,-33.241350126948966,-54.237025190423445,90.47837531737241,12.0,129.71972544432137,217.19810076169367,-75.58449287268172,16571.0,12,5240.11111111111,5527.25,[1043.33333333],6,2766.2222222222213,10.5,[2.5]
1472,1.6666666666666667,-56.26857311250154,88.02785966875231,-29.425953222917435,4.0,31.50928655625077,-0.25000000000000355,-29.425953222917435,5.833333333333333,-57.26857311250154,-88.52785966875231,147.9630994479205,8.0,209.5650058937554,355.36143867500925,-161.59311123543137,17728.333333333332,15,4434.1,4211.5,[411.33333333],6,2957.5277777777774,6.916666666666666,[1.66666667]
1462,3.5,-66.93704235249481,104.23889686207556,-34.80185450958074,6.0,37.13518784291407,-0.1666666666666714,-34.801854509580735,8.166666666666666,-67.60370901916147,-104.57223019540889,175.0092725479037,11.0,248.27964823373182,420.455587448302,-209.73523568203382,16426.0,12,4430.402777777778,4355.916666666667,[470.],6,2742.2222222222226,9.583333333333332,[3.5]
1457,2.8333333333333335,-68.5491295467616,105.03202765347575,-34.98289810671414,4.333333333333334,36.56623144004747,0.0833333333333286,-34.98289810671413,6.000000000000001,-68.21579621342826,-104.86536098680902,177.24782386690396,10.166666666666668,253.79695341366556,426.87811061390283,-185.1750640275684,16466.666666666668,12,4408.25,4472.333333333334,[505.66666667],6,2747.9722222222226,8.083333333333334,[2.83333333]
1460,2.5,-73.64507181768718,112.59260772653079,-37.28086924217693,4.166666666666667,39.69753590884359,0.75,-37.28086924217693,7.333333333333334,-70.64507181768718,-111.09260772653077,183.90434621088463,9.5,258.88275136190515,440.6204309061232,-174.66984893469498,18864.666666666668,16,5201.447916666666,5144.5,[534.33333333],6,3147.6111111111113,8.416666666666668,[2.5]
1448,2.1666666666666665,-53.81971026970758,82.89623207122803,-27.40985513485379,3.833333333333333,29.74318846818712,0.6666666666666643,-27.409855134853785,6.833333333333333,-51.153043603040906,-81.5628987378947,135.2159423409356,9.333333333333332,191.36898594397653,324.08492828491217,-114.62058089555535,16264.0,12,3969.5138888888882,4169.333333333333,[410.16666667],6,2713.944444444444,8.083333333333332,[2.16666667]
1449,2.6666666666666665,-84.24593161437386,129.66056408822743,-43.08129914052026,5.0,45.831299140520265,0.4166666666666714,-43.08129914052027,8.166666666666666,-82.5792649477072,-128.82723075489412,214.73982903593466,11.5,303.9857606503085,515.3922563529098,-252.87801700321836,16616.0,13,3922.8717948717963,3486.8333333333335,[578.],6,2773.4722222222226,9.833333333333332,[2.66666667]
1450,1.8333333333333333,-71.70026961077254,110.88373774949214,-36.683468138719604,4.333333333333333,40.01680147205293,0.8333333333333286,-36.6834681387196,8.5,-68.3669362774392,-109.21707108282547,179.917340693598,10.833333333333334,252.95094363770383,430.53495099796874,-223.81922796900585,17454.666666666668,13,4405.6025641025635,4610.666666666667,[470.5],6,2912.9722222222226,9.666666666666668,[1.83333333]
1451,1.5,-65.7695102256216,103.98759867176574,-34.71808844614414,5.0,38.051421779477465,-0.1666666666666785,-34.71808844614412,8.166666666666666,-66.43617689228826,-104.32093200509902,173.42377556405395,10.833333333333332,245.19328578967554,415.95039468706295,-205.6436804767385,16354.666666666668,12,4169.777777777777,3905.916666666666,[466.33333333],6,2729.638888888889,9.5,[1.5]
1452,2.3333333333333335,-61.73186236562199,96.22279354843299,-31.990931182810996,4.833333333333334,34.740931182810996,0.2499999999999929,-31.99093118281099,7.833333333333334,-60.731862365621986,-95.72279354843299,158.7879892473883,10.166666666666668,224.18651827967696,380.6411741937321,-170.49435914007574,15589.0,13,4508.384615384615,4596.333333333333,[444.5],6,2601.9166666666665,9.0,[2.33333333]
1447,2.1666666666666665,-74.58808016533771,114.29878691467324,-38.04404008266886,3.833333333333333,39.87737341600219,0.1666666666666714,-38.044040082668864,5.833333333333333,-73.92141349867106,-113.9654535813399,190.2202004133443,8.166666666666666,268.808280578682,456.6951476586928,-209.5034282373748,15063.333333333334,11,3525.484848484848,3508.5,[524.16666667],6,2513.444444444445,7.0,[2.16666667]
1476,2.5,-62.06223182888144,95.84334774332216,-31.78111591444072,4.5,34.28111591444072,0.4999999999999929,-31.78111591444071,7.5,-60.06223182888143,-94.84334774332214,158.07224623887024,10.666666666666666,224.46781140108502,379.3733909732888,-148.84120237437378,14930.0,8,4166.125,4182.25,[465.66666667],6,2492.1666666666665,9.083333333333332,[2.5]
1461,2.6666666666666665,-71.61011653512891,109.62350813602671,-36.346724934231126,4.333333333333333,38.59672493423112,0.5833333333333286,-36.34672493423111,7.166666666666666,-69.27678320179557,-108.45684146936,181.0669580044889,10.5,257.01040787295113,434.7440325441067,-168.75444041705782,16897.666666666664,13,4037.5769230769224,4137.166666666666,[533.5],6,2819.7777777777774,8.833333333333332,[2.66666667]
1453,1.8333333333333333,-71.5837512411833,111.25062686177495,-37.16687562059165,4.333333333333333,39.41687562059165,-0.25,-37.16687562059165,6.333333333333333,-72.5837512411833,-111.75062686177492,188.00104476962488,10.0,267.9181293441415,452.25250744709996,-191.3373034579081,16866.333333333336,13,3959.6282051282055,3663.166666666667,[538.83333333],6,2814.5277777777787,8.166666666666666,[1.83333333]
1446,2.5,-56.44210025134853,87.32981704368946,-28.88771679234093,4.5,31.554383459007596,0.666666666666675,-28.887716792340935,7.833333333333334,-53.77543358468186,-85.99648371035613,142.43858396170467,10.5,201.54735087971986,341.3192681747579,-111.03328572114447,15379.333333333336,11,4342.060606060607,4686.000000000001,[442.33333333],6,2567.0277777777787,9.166666666666668,[2.5]
1455,2.0,-57.348028279409874,88.73037575244814,-29.549014139704937,3.833333333333333,31.4656808063716,0.0833333333333286,-29.54901413970493,5.833333333333333,-57.01469494607653,-88.56370908578145,149.74507069852464,10.0,215.09309897793452,360.67150300979256,-131.5979353210604,17706.333333333336,15,4305.48888888889,4461.833333333334,[454.16666667],6,2954.4166666666665,7.916666666666666,[2.]
1456,2.5,-75.69983785439887,116.59142344826496,-38.8915855938661,4.5,40.80825226053277,-0.0833333333333286,-38.891585593866104,6.333333333333333,-76.03317118773221,-116.7580901149316,195.45792796933048,9.0,276.824432490396,469.61569379306013,-223.94012628345615,13522.666666666666,7,3177.5,3248.3333333333335,[531.5],6,2257.3333333333335,7.666666666666666,[2.5]
1445,2.3333333333333335,-45.5290511183109,72.16857667746635,-23.972858892488784,5.0,26.88952555915545,0.24999999999999645,-23.972858892488784,8.166666666666666,-44.5290511183109,-71.66857667746633,120.19762779577724,12.166666666666666,172.72667891408815,288.9243067098655,-77.48431895728697,17488.666666666668,14,4579.654761904762,4543.5,[937.16666667],6,2918.777777777778,10.166666666666666,[2.33333333]
1444,3.6666666666666665,-22.58084921912002,39.24627382868003,-13.16542460956001,7.166666666666666,16.41542460956001,-0.25,-13.16542460956001,10.166666666666666,-23.58084921912002,-39.74627382868004,65.32712304780006,12.166666666666666,92.90797226692007,156.23509531472004,-7.976400914973453,16591.333333333332,12,4638.972222222222,4997.083333333332,[744.5],6,2770.361111111111,11.166666666666666,[3.66666667]
1458,2.5,-81.28431344201046,125.8014701630157,-41.850490054338565,5.166666666666666,44.76715672100523,0.25,-41.850490054338565,8.333333333333332,-80.28431344201046,-125.30147016301572,207.9191169383595,10.666666666666666,292.8700970470366,498.4558806520626,-246.8259776990992,15135.333333333332,11,3625.3636363636365,3511.0,[555.16666667],6,2526.5833333333335,9.5,[2.5]
1459,2.1666666666666665,-36.02959638629582,59.87772791277706,-20.18146485981458,5.833333333333333,23.181464859814575,-0.666666666666675,-20.181464859814568,8.166666666666666,-38.69626305296248,-61.21106124611038,102.07399096573953,10.333333333333332,145.10358735203533,245.0109116511082,-62.947832336476836,17652.0,14,4918.9880952380945,5043.25,[808.],6,2945.9722222222213,9.25,[2.16666667]
1454,2.8333333333333335,-22.33074710483926,38.412787323925556,-12.91537355241963,6.0,15.748706885752963,-0.3333333333333357,-12.915373552419627,8.5,-23.66408043817259,-39.07945399059221,66.07686776209813,11.833333333333334,96.4076148669374,159.15114929570217,-8.392097495972905,14747.0,11,4393.454545454545,4814.666666666666,[708.83333333],6,2462.055555555555,10.166666666666668,[2.83333333]
1477,3.1666666666666665,-47.449673336968445,74.132843338786,-24.683170001817558,5.166666666666666,26.766503335150887,0.08333333333333215,-24.683170001817555,7.333333333333332,-47.11634000363511,-73.9661766721193,123.41585000908775,9.666666666666666,175.19885667938954,296.28137335514396,-48.81356336786678,18624.0,16,5129.958333333334,5422.833333333334,[432.33333333],6,3107.777777777778,8.5,[3.16666667]
1491,2.1666666666666665,-93.79509417669698,144.0259745983788,-48.06421375501516,4.333333333333333,50.06421375501515,-0.1666666666666714,-48.064213755015146,6.166666666666666,-94.46176084336363,-144.35930793171212,240.6544021084091,7.999999999999999,338.7828296184394,577.603898393515,-288.72006134528783,16078.0,13,4397.615384615384,4557.333333333333,[635.66666667],6,2682.888888888889,7.083333333333332,[2.16666667]
