ID,a0,b0,c0,d0,a1,b1,c1,d1,a2,b2,c2,d2,a3,b3,c3,d3,Average Daily Steps,No of active session,A_Mean,A_Median,A_Mode,No of sedentary session,S_Mean,S_Median,S_Mode,Cluster
1001,3.333333333333333,193.01045914983985,-286.47402205809306,95.46356290825324,5.333333333333334,-93.54689624158657,-0.08333333333334281,95.46356290825324,7.166666666666668,192.6771258165065,286.3073553914263,-476.9844812079328,9.166666666666668,-665.6616070244394,-1144.6460882323718,1902.3076952568115,22039.666666666664,4,7954.25,8577.583333333334,277,8,5452.541666666666,5317.583333333332,15,2
1263,2.6666666666666665,-83.45008379057884,128.84179235253492,-42.891708561956094,5.166666666666666,45.55837522862276,0.1666666666666714,-42.891708561956094,8.0,-82.78341712391219,-128.5084590192016,212.62520947644714,9.333333333333334,298.075293267026,509.3671694101399,-246.94246267716582,29868.666666666664,15,6981.944444444444,5186.666666666667,67,6,4981.944444444444,8.666666666666668,11,0
1262,1.6666666666666667,-82.83997603288019,126.88496404932027,-42.37832134977343,3.333333333333333,43.794988016440094,-0.25,-42.37832134977343,4.5,-83.83997603288019,-127.38496404932027,213.39160674886716,6.666666666666666,301.5649161150807,512.7898561972813,-196.85477231236197,34275.33333333333,17,7279.813725490197,5357.0,79,6,5715.083333333332,5.583333333333332,5,0
1261,4.166666666666667,-87.58627030048322,133.37940545072485,-44.29313515024161,5.666666666666668,46.29313515024161,0.5,-44.29313515024161,8.166666666666668,-85.58627030048322,-132.37940545072485,220.46567575120807,10.666666666666668,311.05194605169135,529.0176218028994,-251.90290118792404,32534.333333333336,16,7024.041666666668,4853.75,73,6,5426.694444444445,9.416666666666668,19,0
1260,2.333333333333333,-100.12029508354445,152.76377595865003,-50.810147541772224,4.166666666666667,52.9768142084389,0.3333333333333286,-50.810147541772224,6.666666666666668,-98.78696175021112,-152.09710929198334,252.55073770886116,8.333333333333334,354.67103279240564,605.5551038346002,-323.3928032936724,33029.33333333333,14,6297.702380952382,4757.25,84,6,5508.138888888888,7.5,9,0
1259,2.6666666666666665,-73.84304518573585,113.72290111193712,-37.7131892595346,4.833333333333333,40.463189259534595,0.5833333333333286,-37.71318925953458,8.166666666666666,-71.50971185240249,-112.5562344452704,186.89927963100624,11.0,264.0756581500754,448.1416044477482,-166.05059593115695,34300.33333333333,14,7689.369047619048,5668.583333333332,64,6,5720.777777777777,9.583333333333332,11,0
1258,2.833333333333333,-39.076514974319316,61.73977246147897,-20.496590820492987,5.0,22.913257487159658,0.25,-20.496590820492987,7.666666666666666,-38.076514974319316,-61.23977246147898,101.14962076913164,9.5,142.89280241011758,242.20908984591603,-70.43522558936695,30340.0,12,7441.041666666668,5306.333333333334,104,6,5060.333333333333,8.583333333333332,12,0
1257,2.333333333333333,-31.64507715271367,50.42594906240385,-16.614205243023502,4.5,19.364205243023502,0.5833333333333321,-16.614205243023502,7.833333333333334,-29.311743819380336,-49.25928239573717,80.57102621511751,9.833333333333334,113.88277003449785,192.45379624961544,-30.169899617446614,32017.333333333336,14,7154.452380952382,5166.25,118,6,5339.833333333333,8.833333333333334,9,0
1264,2.1666666666666665,-53.06526295058998,82.80622775921829,-27.57429814196166,4.333333333333333,29.824298141961656,0.08333333333333215,-27.574298141961656,6.666666666666666,-52.731929617256654,-82.63956109255162,138.03815737647494,9.333333333333332,196.10342032706487,331.4749110368733,-103.57833136393822,23092.333333333336,10,4664.166666666667,3364.75,11,6,3852.25,7.999999999999999,8,3
1256,2.833333333333333,-63.07107340344921,98.68994343850716,-32.952203368391274,5.5,35.452203368391274,-0.1666666666666714,-32.952203368391274,7.833333333333334,-63.73774007011588,-99.02327677184047,166.26101684195638,11.333333333333336,236.99875691207225,399.7597737540284,-201.42519733276728,31374.666666666664,13,7051.320512820512,4790.333333333333,18,6,5233.166666666667,9.583333333333334,12,0
1254,2.833333333333333,-60.53285102712757,95.0076098740247,-31.47475884689712,5.833333333333334,35.05809218023045,0.5833333333333249,-31.47475884689711,10.0,-58.19951769379424,-93.840943207358,153.8737942344856,11.833333333333336,215.73997859494648,367.7804394960986,-134.02041809104514,35847.33333333333,15,7331.622222222221,4964.166666666666,25,6,5979.166666666668,10.916666666666668,12,0
1253,2.1666666666666665,-58.01912762543975,90.02869143815961,-29.67623047938655,4.5,33.009563812719875,0.9999999999999964,-29.67623047938654,8.833333333333332,-54.01912762543975,-88.02869143815961,145.88115239693272,12.666666666666664,207.56694668903916,349.6147657526384,-142.68171244167752,33096.666666666664,16,6683.885416666666,4797.5,7,6,5520.527777777777,10.75,8,0
1252,1.3333333333333333,-37.767395514927415,63.19275993905779,-21.425364424130372,5.333333333333333,24.34203109079704,-1.0833333333333357,-21.42536442413037,7.166666666666666,-42.10072884826074,-65.35942660572445,110.79348878731851,10.5,159.56088430224594,267.021039756231,-65.58192405847693,27312.0,15,5912.911111111111,4095.5,131,6,4555.61111111111,8.833333333333332,3,0
1251,2.6666666666666665,-44.799369856478606,70.3240547847179,-23.524684928239303,4.666666666666666,25.274684928239303,-0.25,-23.524684928239303,6.166666666666666,-45.799369856478606,-70.8240547847179,119.6234246411965,9.166666666666666,171.42279449767508,288.0462191388715,-74.13568030321323,33175.66666666667,15,7200.500000000001,5175.666666666666,132,6,5532.722222222224,7.666666666666666,11,0
1250,3.6666666666666665,-61.05928910140587,96.8389336521088,-32.4463112173696,7.0,35.279644550702926,-0.5,-32.4463112173696,9.333333333333334,-63.05928910140587,-97.83893365210884,164.23155608684803,12.666666666666668,233.95751185492054,394.8557346084352,-85.31324646335577,34589.333333333336,16,7998.708333333334,5280.5,63,6,5769.8888888888905,11.0,17,0
1249,2.0,-53.1010027006589,82.40150405098834,-27.30050135032945,4.0,29.80050135032945,0.5,-27.30050135032945,7.0,-51.1010027006589,-81.40150405098834,134.3358400849806,8.833333333333334,189.10350945230618,321.60601620395323,-132.37619232292604,32058.333333333336,12,7299.2638888888905,4461.666666666667,123,6,5346.111111111112,7.916666666666668,7,0
1248,2.833333333333333,-53.565399769795285,85.05643298802623,-28.324366551564307,6.0,31.574366551564303,0.08333333333333215,-28.324366551564303,9.333333333333334,-53.232066436461935,-84.88976632135956,141.78849942448815,13.0,202.35389919428346,340.47573195210475,-116.49629781305487,28971.666666666664,16,6697.09375,5015.833333333332,15,6,4833.527777777777,11.166666666666668,12,0
1255,3.1666666666666665,-84.00547400656387,132.1748776765125,-44.33607033661528,7.0,47.33607033661528,-0.8333333333333286,-44.336070336615286,9.166666666666666,-87.33880733989722,-133.84154434317912,224.18035168307637,12.166666666666664,317.51915902297355,538.69951070605,-252.88533639569016,34826.66666666667,15,6509.833333333332,5077.0,77,6,5809.166666666668,10.666666666666666,14,0
1265,2.6666666666666665,-43.65038771445003,67.72558157167504,-22.241860523891678,4.5,25.075193857225013,1.0000000000000036,-22.241860523891678,8.333333333333334,-39.65038771445003,-65.72558157167504,106.70930261945837,9.666666666666668,149.02635700057508,254.4023262867001,-33.42868328727513,28638.666666666664,13,6983.179487179486,5549.166666666666,139,6,4776.972222222223,9.0,11,0
